time,cdp409,cdp410,cdp412,cdp413
0.708,129,-1437,-2116,-1985
0.712,2339,2171,877,740
0.716,2150,2024,2140,2181
0.72,-1324,-2060,2,1739
0.724,-511,-4934,-2629,-1558
0.728,-1114,-3409,-1657,-2309
0.732,-269,843,-76,47
0.736,5292,11276,9396,4138
0.74,14215,16780,16328,12874
0.744,13466,13674,13097,11160
0.748,2282,2488,2155,2265
0.752,-1461,-2602,-2381,-2663
0.756,-2245,-6727,-10835,-9012
0.76,-3609,-3764,-7624,-9337
0.764,-2769,-2396,-2706,-3135
0.768,-2323,-1766,-1536,-2142
0.772,-1983,-1622,558,678
0.776,-756,-854,1832,2223
0.78,1732,1517,2234,2516
0.784,2324,2260,2184,2297
0.788,1682,1929,1356,914
0.792,-1661,-20,-717,-1491
0.796,-2324,-1604,-961,-1353
0.8,-1167,-371,802,1470
0.804,2174,1560,1789,2384
0.808,2674,2121,1382,2295
0.812,2447,2181,-9,1706
0.816,1839,2174,496,1517
0.82,-288,1423,1628,1135
0.824,-2727,-2337,-578,-2172
0.828,-10503,-10342,-3911,-9893
0.832,-12299,-13738,-12611,-14559
0.836,-2462,-6515,-7549,-8119
0.84,2181,1543,1384,1805
0.844,11043,10515,11384,12398
0.848,11798,12670,12906,13616
0.852,2747,2590,2720,485
0.856,-1922,-1183,-2539,-2437
0.86,-2457,-2328,-4298,-4072
0.864,2253,2092,94,-368
0.868,15035,13421,13433,11932
0.872,18871,17571,20686,18935
0.876,6459,7303,14485,13408
0.88,-5659,-1898,-1075,-996
0.884,-19589,-18045,-14851,-13586
0.888,-19003,-19121,-19830,-17559
0.892,-12741,-14238,-18358,-15746
0.896,-9081,-11829,-16774,-15086
0.9,-12644,-13788,-16935,-17225
0.904,-13303,-13729,-14319,-16507
0.908,-89,-2757,-2476,-3160
0.912,6000,7263,11033,7915
0.916,21491,22413,23552,24040
0.92,25020,25629,26811,28249
0.924,24711,25045,25740,26978
0.928,20522,20170,19122,19415
0.932,4957,3064,2257,1555
0.936,-3509,-4425,-11856,-14259
0.94,-18529,-17892,-19508,-21258
0.944,-19938,-18705,-16741,-17245
0.948,-13131,-12237,-5619,-4383
0.952,-2709,-2707,-1899,-1173
0.956,-1554,-2006,-1852,-1040
0.96,-1512,-2131,-2470,-2257
0.964,-1062,-1685,-2157,-2073
0.968,1058,905,999,1083
0.972,1441,1521,1817,1930
0.976,-1750,-1714,-1668,-1556
0.98,-1652,-1187,-1988,-2677
0.984,-2739,-2549,-2604,-1015
0.988,1511,2038,2044,1043
0.992,5830,7125,6201,3849
0.996,7488,7383,4918,4604
1,2714,2662,2334,2472
1.004,1670,1754,1520,1843
1.008,1577,1664,1973,2164
1.012,2071,1795,2244,2380
1.016,2208,1734,2201,2326
1.02,2458,2199,2400,2450
1.024,254,2685,2780,2732
1.028,2382,2298,2267,2158
1.032,-2344,-2434,-2612,-2731
1.036,-14205,-14126,-15266,-15636
1.04,-18735,-17731,-18686,-18888
1.044,-11957,-9714,-9556,-9285
1.048,1897,2262,2603,157
1.052,14071,14146,15814,17173
1.056,14808,14018,14475,15520
1.06,2604,2289,1843,1755
1.064,-4186,-6626,-10495,-12084
1.068,-13173,-13659,-14359,-15721
1.072,-5111,-3719,-762,-1983
1.076,1895,2364,2273,2816
1.08,6889,9473,12417,13227
1.084,944,1728,1346,2933
1.088,-2342,-2427,-2125,-1795
1.092,-11903,-12306,-15477,-16111
1.096,-10757,-10931,-13017,-13779
1.1,-785,-838,-843,-779
1.104,-2673,-2511,-2536,-2570
1.108,-14302,-14281,-14025,-13849
1.112,-21064,-21553,-20999,-20861
1.116,-20659,-21071,-20053,-19944
1.12,-12669,-12439,-10638,-10151
1.124,1691,2109,1814,1407
1.128,11605,11069,12510,13535
1.132,18324,17377,18918,19974
1.136,17138,16319,16902,16984
1.14,11893,11735,11182,9278
1.144,-15568,-15214,-15348,-15985
1.148,-20898,-19986,-21874,-19985
1.152,-15843,-14357,-12348,-15987
1.156,-4502,-5432,-5364,-6543
1.16,658,121,98,1812
1.164,131,-841,-1551,-1513
1.168,-2159,-2463,-1343,-2752
1.172,-1243,-1786,-2611,-857
1.176,2455,2372,1440,152
1.18,7460,8031,5409,3222
1.184,9962,10731,10220,9182
1.188,4630,4281,4600,5386
1.192,2332,2153,2209,2453
1.196,1054,453,909,1508
1.2,764,1174,1565,1553
1.204,1239,1857,2242,2156
1.208,-343,337,1933,2030
1.212,-989,-2767,-2115,-1610
1.216,-13539,-13461,-11312,-8819
1.22,-18423,-18746,-18285,-17687
1.224,-16416,-17112,-18646,-19320
1.228,-2265,-4161,-9317,-11810
1.232,2341,467,2322,1757
1.236,16647,16105,15594,14778
1.24,16986,17274,18233,18483
1.244,4363,6820,9805,11450
1.248,-2414,-1951,-1487,-370
1.252,-7893,-6214,-7032,-6032
1.256,-2518,-2683,-2781,-3637
1.26,2870,2727,2175,1620
1.264,16693,15536,14404,13033
1.268,17774,18083,18847,18499
1.272,5368,8347,11835,12933
1.276,-5923,-2303,-2503,-1997
1.28,-23425,-22751,-21413,-19968
1.284,-26667,-26445,-25832,-25650
1.288,-23204,-23413,-23338,-23671
1.292,-4753,-6871,-9606,-11485
1.296,7133,3891,2641,2431
1.3,20506,18637,15991,15768
1.304,23341,22672,21118,21133
1.308,22286,22098,21086,20762
1.312,15842,16573,16521,15900
1.316,838,3102,4888,4478
1.32,-2771,-2499,-2043,-1610
1.324,-15113,-14329,-12294,-9969
1.328,-18948,-18576,-17239,-15730
1.332,-15708,-15885,-15974,-15725
1.336,-4777,-6795,-9149,-10834
1.34,-109,-1785,-2194,-2387
1.344,2249,1581,1728,1851
1.348,2212,2106,2607,805
1.352,1300,1888,2730,1451
1.356,-133,1471,2343,2332
1.36,97,1411,1315,165
1.364,1937,2158,52,-1218
1.368,1632,1955,2132,1024
1.372,8884,9029,4433,610
1.376,10496,10721,10058,7624
1.38,3503,3831,5194,4844
1.384,754,760,1307,1605
1.388,-2774,-1034,-962,-2727
1.392,-6389,-8747,-9497,-7752
1.396,-6288,-8618,-9756,-7274
1.4,-2959,-3399,-3829,-1124
1.404,-2656,-2404,-2173,-1793
1.408,-2052,-1177,1133,1505
1.412,145,1245,2436,2555
1.416,2131,2086,2638,55
1.42,2338,1992,2091,2146
1.424,1457,5,-1674,-2089
1.428,-2136,-2170,-3023,-6763
1.432,-1918,-398,-7454,-11147
1.436,-249,-2685,-1683,-2704
1.44,49,-326,730,1726
1.444,3870,1410,6035,10651
1.448,12370,11651,13504,15141
1.452,12758,13162,13905,13881
1.456,8268,10238,9612,7209
1.46,2603,134,2522,2214
1.464,-981,-495,-1642,-1972
1.468,-2844,-2463,-3398,-3953
1.472,-11352,-11163,-9418,-9987
1.476,-12014,-11867,-9709,-10203
1.48,-6135,-6741,-5281,-4925
1.484,-2232,-2525,-2581,-2416
1.488,1152,-526,-971,-137
1.492,2438,2127,2138,2083
1.496,1395,1894,2128,334
1.5,1492,4530,4398,2971
1.504,1448,2241,2284,2358
1.508,-5742,-1953,-169,-2486
1.512,-17427,-15768,-14195,-12997
1.516,-16320,-15861,-14158,-14205
1.52,-1356,-2117,-1813,-2266
1.524,21025,18189,16524,15198
1.528,29944,28756,26753,26441
1.532,29679,29321,27051,26961
1.536,17602,18404,15562,15581
1.54,-11387,-9194,-9246,-7958
1.544,-28444,-28116,-26897,-26094
1.548,-31446,-31500,-29715,-28709
1.552,-25467,-25669,-24122,-23470
1.556,-5696,-5803,-2919,-3076
1.56,4689,5761,5122,2897
1.564,13779,14484,13409,12242
1.568,10288,11189,9949,8648
1.572,2527,2652,2643,2548
1.576,948,1542,1451,1040
1.58,2128,2268,1944,1702
1.584,9258,8711,5383,4487
1.588,18318,17177,15747,15013
1.592,20063,18775,18425,17376
1.596,9506,8190,10071,8804
1.6,-5152,-4890,-1153,-2774
1.604,-23481,-23195,-21913,-19859
1.608,-25237,-24971,-23950,-22501
1.612,-16004,-15948,-14455,-12081
1.616,2133,1934,2180,2296
1.62,14945,14211,13892,12439
1.624,12887,12043,10546,6771
1.628,1477,224,-1205,-1882
1.632,-6010,-8468,-11636,-12353
1.636,-11345,-12037,-14045,-14942
1.64,-4532,-3506,-7169,-8770
1.644,-1399,161,-169,-164
1.648,1054,5365,8181,9998
1.652,12685,14469,17371,18572
1.656,14555,15619,18239,19187
1.66,7339,8170,9797,10795
1.664,-167,-174,-1417,-1364
1.668,-3718,-4271,-8457,-8876
1.672,-5305,-6204,-10824,-11246
1.676,-2643,-468,-4814,-4954
1.68,-1925,-2323,-2690,-2653
1.684,-1575,-2169,-2131,-2110
1.688,-100,-499,1398,1174
1.692,2553,21,5405,4286
1.696,9773,11999,13699,12951
1.7,12493,13152,13155,12405
1.704,4745,2775,712,2709
1.708,-1553,-2304,-2563,-2681
1.712,-12400,-13789,-14441,-14490
1.716,-20270,-20147,-20377,-19828
1.72,-22549,-21496,-20946,-20163
1.724,-18709,-17164,-15405,-15054
1.728,-3071,-1282,-2227,-2303
1.732,10061,10397,13785,13424
1.736,25200,25193,26020,26254
1.74,28980,29001,28632,29305
1.744,24516,24335,22970,23589
1.748,2672,2416,664,907
1.752,-16427,-17642,-20576,-21282
1.756,-24106,-24579,-25460,-25854
1.76,-21804,-22364,-22595,-22628
1.764,-11525,-11875,-11399,-10082
1.768,-2087,-1958,-1498,-233
1.772,2018,2294,2560,2747
1.776,2082,4877,7046,6605
1.78,8544,11091,12061,10528
1.784,11139,11636,12159,10059
1.788,7738,6632,6221,4393
1.792,2619,2368,2146,2195
1.796,-1128,-1490,-2035,-1525
1.8,-1910,-1122,-2384,-200
1.804,-6261,-4709,-4153,-3561
1.808,-1484,-61,-2506,-2692
1.812,-762,-142,1256,139
1.816,2472,2529,355,2670
1.82,501,2749,504,2753
1.824,2227,1858,1502,1106
1.828,-820,-1714,-2298,-2388
1.832,-2432,-2592,-1746,-1083
1.836,-506,-2696,-780,-2697
1.84,-1893,-2526,-2453,-2425
1.844,-2658,-2430,-2321,-2571
1.848,-602,-2379,-2469,-238
1.852,-1516,-1954,-2296,-2443
1.856,2617,1066,132,574
1.86,8314,2732,322,2292
1.864,7581,3309,7591,10174
1.868,2490,2662,6395,9672
1.872,2543,2344,1440,464
1.876,2107,182,1769,984
1.88,609,2748,1721,1490
1.884,2432,2556,1849,2128
1.888,2139,2527,2248,2476
1.892,1438,2283,2271,2240
1.896,-1964,-1239,-629,-1620
1.9,-8336,-9580,-8765,-10281
1.904,-17734,-19857,-20048,-19280
1.908,-22257,-23136,-23198,-22359
1.912,-19772,-19739,-18786,-17734
1.916,-8820,-6357,-2724,-3722
1.92,2207,2387,2658,2202
1.924,13958,13537,12801,10017
1.928,18285,17694,15975,14361
1.932,17056,17425,16490,15942
1.936,13772,15043,15718,15691
1.94,10113,11788,13593,13259
1.944,2522,3645,7935,6740
1.948,1053,1481,2319,2317
1.952,-2748,-2539,-1989,-1386
1.956,-7317,-6980,-4073,-2771
1.96,-5823,-9377,-8739,-5315
1.964,-2648,-5496,-7761,-7586
1.968,-1794,-2638,-3530,-6642
1.972,-1214,-1788,-2630,-2547
1.976,-916,-165,-2110,-2294
1.98,-83,1278,-1161,-78
1.984,968,1933,88,1946
1.988,1073,1894,823,2134
1.992,-105,974,869,1371
1.996,-1664,-1038,-140,-1141
2,-2369,-2282,-1988,-2333
2.004,-1065,-2854,-205,-1810
2.008,-4872,-9217,-5047,-6033
2.012,-5141,-9087,-4686,-5126
2.016,-2556,-2544,-2227,-2142
2.02,2161,2705,162,2404
2.024,12956,15536,16006,17669
2.028,20591,21633,22595,23290
2.032,22320,21246,22767,22823
2.036,17723,15651,17158,15827
2.04,5943,3727,2495,2670
2.044,-1951,-1772,-2627,-253
2.048,-13041,-12147,-15190,-14644
2.052,-20502,-20045,-21151,-20337
2.056,-22477,-22594,-21624,-22136
2.06,-20048,-20500,-18568,-20637
2.064,-15586,-15690,-15546,-17643
2.068,-11628,-11401,-13651,-14427
2.072,-2937,-2424,-8481,-7275
2.076,1473,1558,94,1373
2.08,15342,15261,16034,17087
2.084,26275,26000,27166,27340
2.088,30774,30321,31352,31231
2.092,29738,29248,29522,29165
2.096,22925,22433,21629,20298
2.1,1566,910,-1122,-2068
2.104,-22317,-22364,-23594,-23965
2.108,-31490,-30975,-31768,-31201
2.112,-32767,-32767,-32681,-31326
2.116,-28194,-27526,-25989,-24455
2.12,-11839,-11241,-4793,-129
2.124,8947,9328,11757,12855
2.128,21309,21659,21291,21373
2.132,19663,20124,19188,19016
2.136,10786,10835,10233,10526
2.14,2203,2072,2165,2219
2.144,955,80,556,113
2.148,2247,2170,2006,1016
2.152,3460,3608,825,2281
2.156,7812,9013,5254,159
2.16,5636,8135,5430,839
2.164,2320,2773,372,2311
2.168,-2322,-1631,-6,-1524
2.172,-11790,-10963,-6272,-7068
2.176,-17588,-19014,-17662,-15947
2.18,-19102,-22260,-22325,-18780
2.184,-15756,-18887,-19761,-15713
2.188,-4777,-8594,-9954,-4351
2.192,1994,1528,1404,1782
2.196,12685,12008,11878,10783
2.2,19019,18406,18056,16535
2.204,19978,19797,19121,17899
2.208,15935,16435,15728,14836
2.212,5660,7752,7477,5396
2.216,-296,1072,1590,501
2.22,-4685,-180,-2559,-2681
2.224,-11336,-6502,-6107,-4069
2.228,-9710,-6892,-8664,-4640
2.232,-3881,-5779,-8141,-4910
2.236,-434,-6169,-7270,-6190
2.24,-1538,-7023,-6253,-6857
2.244,-3385,-4500,-2329,-4317
2.248,-2775,-2249,-1805,-2341
2.252,28,2269,2417,2064
2.256,6837,10611,9389,8961
2.26,16370,15909,14134,14897
2.264,18355,15979,13831,14448
2.268,12986,8979,6114,5213
2.272,1762,166,146,-1271
2.276,-6501,-5657,-4099,-6907
2.28,-14488,-12895,-11410,-10969
2.284,-13642,-12414,-9051,-3356
2.288,-7115,-6173,-209,-1369
2.292,-2527,-2372,-1091,1750
2.296,-1562,85,1693,1431
2.3,10486,4232,2325,2401
2.304,14658,10565,1408,6713
2.308,14315,11718,4867,11259
2.312,5839,4686,2609,7073
2.316,-1299,-232,1604,1791
2.32,-11582,-9527,-1434,-3778
2.324,-18587,-17507,-14201,-15945
2.328,-19576,-18985,-17668,-19153
2.332,-14465,-14436,-14438,-15225
2.336,-1467,-1854,-1568,-1144
2.34,1245,1223,1825,2278
2.344,2762,2654,5388,9165
2.348,11848,10984,11650,13460
2.352,16200,14623,13951,15378
2.356,17550,16537,15062,15889
2.36,12750,13660,12371,12070
2.364,1701,2462,2320,1703
2.368,-8106,-4704,-5620,-10608
2.372,-15252,-15221,-16598,-18768
2.376,-11345,-12270,-14764,-15820
2.38,-798,-1205,-2397,-2375
2.384,6581,7796,3509,4831
2.388,10359,11485,9770,10837
2.392,2273,2253,2192,2157
2.396,-4122,-5858,-5617,-7923
2.4,-15306,-16125,-15556,-17299
2.404,-15558,-15623,-14122,-14931
2.408,-8261,-7101,-1565,-2630
2.412,-1536,-1000,2117,580
2.416,2767,634,9828,13112
2.42,11143,10722,15514,16845
2.424,15064,14421,17795,18523
2.428,15983,15917,16717,17997
2.432,12257,13616,11779,13387
2.436,2348,1236,2215,2345
2.44,-2604,-2567,-3436,-5831
2.444,-15715,-14724,-17240,-19380
2.448,-18898,-19866,-22615,-23697
2.452,-15050,-18172,-21456,-22800
2.456,-769,-8409,-12110,-13713
2.46,2611,2010,1566,116
2.464,13644,13640,13644,12482
2.468,16942,17852,17754,16845
2.472,13255,13359,12829,12612
2.476,2514,2178,2128,2328
2.48,-2607,-2338,-110,-2419
2.484,-9919,-11436,-6604,-3477
2.488,-10036,-9098,-2350,-133
2.492,-877,-2564,-1438,-1038
2.496,176,1894,2442,2486
2.5,206,5913,4864,6298
2.504,3838,10463,5985,8730
2.508,2703,4378,730,3035
2.512,160,997,1323,1421
2.516,-2567,-329,-2236,-2520
2.52,-3807,-7233,-2190,-6244
2.524,-3885,-6013,-4936,-8168
2.528,-2770,-2763,-3725,-3298
2.532,-1702,-1602,-2559,-2061
2.536,1999,1543,-150,1567
2.54,2704,2496,2387,2510
2.544,5823,2708,334,2547
2.548,932,2366,2401,1980
2.552,1463,1449,321,-130
2.556,-1217,-10,-1534,-1509
2.56,-542,163,-462,-648
2.564,1093,1471,1938,1522
2.568,767,1758,2483,2132
2.572,-1583,1458,2218,1803
2.576,-2347,74,136,13
2.58,-2325,-1654,-2166,-1670
2.584,-2173,-2478,-992,-2750
2.588,-2419,-3429,-7051,-8963
2.592,-810,-7993,-10546,-12444
2.596,-2717,-4670,-4269,-4187
2.6,1108,354,1964,61
2.604,12608,13857,16827,21504
2.608,22510,23429,24640,26193
2.612,22419,23120,23550,23260
2.616,4563,7046,6101,2601
2.62,-15572,-13467,-14076,-18593
2.624,-28186,-26721,-26524,-27753
2.628,-29116,-28025,-27274,-26765
2.632,-19620,-19739,-18223,-14645
2.636,252,2112,2133,2363
2.64,24337,21661,19710,21429
2.644,27413,24816,23096,22440
2.648,22490,18696,14727,11612
2.652,2497,1817,-1377,-2281
2.656,-11060,-11596,-13969,-13625
2.66,-16553,-15548,-15924,-14124
2.664,-12486,-8898,-5326,-3580
2.668,-2607,-1370,1651,740
2.672,405,2396,3873,2774
2.676,1799,2550,3580,1743
2.68,1939,2286,283,1090
2.684,2432,2484,1848,3587
2.688,3207,3689,7228,8765
2.692,6421,8594,9105,9912
2.696,2410,5527,1724,951
2.7,1332,1611,-1457,-2124
2.704,-326,-3180,-9865,-12515
2.708,-12028,-14595,-16689,-18509
2.712,-15158,-17550,-17932,-18642
2.716,-13346,-15105,-14149,-12950
2.72,-1579,-4666,-1707,-2246
2.724,2288,1711,2248,2064
2.728,12106,11206,12349,13541
2.732,15126,15850,16531,15218
2.736,11452,13777,13392,11717
2.74,2219,559,2406,2590
2.744,-2688,-2364,-1372,-2236
2.748,-9349,-9152,-11827,-8900
2.752,-8186,-8316,-9740,-11411
2.756,-2304,-2258,-2260,-2758
2.76,2573,2550,110,2728
2.764,10229,8881,12440,14555
2.768,9758,8510,13137,15756
2.772,2366,2393,1955,3275
2.776,-2689,-2575,-2492,-2225
2.78,-11437,-11580,-13509,-17830
2.784,-11144,-12073,-15119,-19636
2.788,-2543,-2769,-5307,-11285
2.792,2451,2461,2114,1593
2.796,10237,11698,11775,12253
2.8,12129,13089,14132,15760
2.804,6518,5892,8533,12192
2.808,1879,694,1574,2383
2.812,-2711,-2930,-1748,-2702
2.816,-11578,-11983,-11663,-11240
2.82,-13735,-12449,-11882,-11162
2.824,-9643,-5188,-2894,-96
2.828,-2134,-984,207,1556
2.832,2576,163,2243,2699
2.836,6640,6388,6695,5070
2.84,4584,3702,1990,2753
2.844,2190,2096,940,108
2.848,-1569,-1880,-2748,-684
2.852,-2429,-2729,-7983,-8526
2.856,-2195,-2614,-7399,-7492
2.86,-79,-1736,-2538,-2515
2.864,1578,846,1657,1618
2.868,1560,1865,2690,1783
2.872,300,1959,6478,5026
2.876,304,2107,6217,4915
2.88,2132,2539,5542,5079
2.884,1820,3285,5165,5380
2.888,5217,5675,2639,2584
2.892,1594,793,2229,2182
2.896,1584,-1,-1761,-1565
2.9,-2216,-2112,-4279,-1552
2.904,-2590,-9118,-11198,-8292
2.908,-5508,-7384,-11653,-11259
2.912,-5877,-1837,-8565,-10261
2.916,-6085,-2716,-3853,-6118
2.92,-6125,-1302,-239,-1364
2.924,-2863,-1583,-2410,-2423
2.928,-2063,-2155,-1542,-1663
2.932,1965,2020,1440,646
2.936,887,2338,2467,2277
2.94,2022,2406,661,1681
2.944,361,2597,2694,7122
2.948,816,2592,6516,11605
2.952,5586,4707,11996,13428
2.956,11605,11762,14747,13823
2.96,12924,12974,14375,11931
2.964,8722,7976,7136,2963
2.968,1806,1402,-550,-948
2.972,-5070,-7638,-12380,-10465
2.976,-17138,-18594,-22033,-19613
2.98,-20788,-21562,-23773,-22974
2.984,-17133,-16583,-20185,-20430
2.988,-5293,-2089,-6893,-10100
2.992,958,2073,2020,1030
2.996,666,3334,8242,6306
3,263,1974,10353,8427
3.004,2108,2346,5311,1688
3.008,850,1851,95,2267
3.012,1539,2156,2666,2515
3.016,2746,2732,2726,6658
3.02,9741,5377,8157,13279
3.024,14024,9932,10409,13987
3.028,13217,9121,4743,7166
3.032,1283,2592,94,-310
3.036,-771,-2762,-8969,-12117
3.04,-18860,-17142,-19640,-21947
3.044,-24423,-23347,-23363,-24318
3.048,-23445,-22580,-21983,-22538
3.052,-12277,-11727,-11425,-10215
3.056,2164,491,26,4050
3.06,23533,22723,23045,24121
3.064,28238,27477,28633,29346
3.068,25997,25532,27016,27324
3.072,12116,11873,13474,13535
3.076,-11227,-10762,-11868,-12318
3.08,-25683,-25544,-26849,-27420
3.084,-27470,-27590,-28713,-29668
3.088,-20898,-21361,-21827,-23216
3.092,-1241,-1001,95,-1639
3.096,14983,16394,17709,17145
3.1,19670,21604,21992,22837
3.104,12425,13543,13222,16004
3.108,-162,-840,-746,1663
3.112,-9076,-11859,-10939,-7747
3.116,-11745,-13313,-12977,-12429
3.12,-2744,-2721,-2598,-2719
3.124,2532,2810,2368,2226
3.128,12839,16871,14464,13255
3.132,15627,19818,19814,18240
3.136,11882,15002,16964,15778
3.14,2230,2550,2610,2029
3.144,-1230,-3513,-81,-2721
3.148,-12560,-16119,-14302,-14286
3.152,-13251,-17971,-15544,-16227
3.156,-6377,-12708,-9479,-11187
3.16,-1873,-2530,-2188,-2266
3.164,1629,816,807,1263
3.168,1545,202,-630,173
3.172,-1616,-2408,-1144,-2544
3.176,-2718,-4889,-11222,-7425
3.18,-2652,-2596,-11156,-8032
3.184,102,529,-2369,-2365
3.188,6758,11440,4997,1085
3.192,15893,19971,18908,15980
3.196,16871,21154,22498,20533
3.2,10553,13966,17453,16898
3.204,1090,1918,1358,2555
3.208,-2556,-2986,-2534,-2413
3.212,-7294,-9739,-9030,-9928
